W1,W2,W3,F
click,detailed,election,389
detailed,election,leads+results,338
election,leads+results,analysis,338
election,trends,pm,255
trends,pm,click,255
pm,click,detailed,255
election,trends,click,119
trends,click,detailed,119
fears,new,terrain,114
new,terrain,politics,114
terrain,politics,changing,114
thoughtfactory,new,old,113
new,old,fears,113
old,fears,new,113
adjourned,till,pm,76
adjourned,till,noon,71
huge,mess,caused,68
protection,rights,marriage,59
detailed,election,results,56
election,results,analysis,56
muslim,women,protection,55
women,protection,rights,55
also,want,make,54
address,root,causes,54
track,live,updates,52
watch,live,analysis,50
live,analysis,latest,50
analysis,latest,election,50
mess,caused,first,50
caused,first,term,50
first,term,office,50
latest,election,results,50
passes,constitution,amendment,48
speaker,sumitra,mahajan,45
want,make,you.the,41
reservation,economically,weaker,38
follow,live,updates,37
sp,contest,seats,37
media,coverage,update,35
upcoming,lok,elections,35
voting,stations,open,34
election,commission,india,33
us,also,want,32
dna,technology,use,32
call,us,also,32
make,you.the,year,32
economically,weaker,section,32
sir,adding,hands,31
adding,hands,call,31
provide,reservation,economically,31
hands,call,us,31
closer,want,work,31
first,week,march,31
coming,closer,want,31
technology,use,application,30
jeremys,knesset,insider,29
chief,election,commissioner,29
new,delhi,international,29
stations,open,days,28
use,application,regulation,28
economically,weaker,sections,27
personal,laws,amendment,27
transgender,persons,protection,27
delhi,international,centre,27
shining,india,survey,26
lok,adjourned,till,26
persons,protection,rights,26
year,coming,closer,26
indian,medical,council,26
january,sa’s,voting,25
contest,lok,elections,25
sharing,glimpses,shining,24
sa’s,voting,stations,24
dot,news,link,24
glimpses,shining,india,24
you.i,also,want,24
tweet,call,us,24
read,tweet,call,24
open,days,registration,23
pray,read,tweet,23
final,january,sa’s,23
pray,pray,read,23
sir,pray,pray,23
time,address,root,23
election,results,madhya,23
results,madhya,pradesh,23
amendment,provide,reservation,23
child,sex,offending,23
coverage,update,date,23
call,us,you.i,22
near,want,work,22
triple,talaq,passed,22
us,you.i,also,22
registration,updating,addresses,22
days,registration,updating,22
addresses,voting,stations,21
contest,upcoming,elections,21
medical,council,amendment,21
updating,addresses,voting,21
lok,passes,constitution,20
oz,alp,women,19
coming,time,show,19
rights,marriage,passed,19
weaker,section,society,19
update,date,headline,19
mess,caused,term,19
likud,israel,resilience,19
heres,exclusive,interview,19
want,work,election.which,19
pradesh,chief,minister,19
akp,chair,president,19
says,lnp,primary,19
poll,says,lnp,19
ipsos,poll,says,19
lnp,primary,nonmetrop,19
constitution,amendment,provide,19
two,points,ipsos,19
nonmetrop,oz,alp,19
primary,nonmetrop,oz,19
points,ipsos,poll,19
national,medical,commission,19
join,us,visit,18
elections,dot,news,18
year,near,want,18
coming,time,stop,18
work,election.which,strengthen,18
election.which,strengthen,party,18
israel,resilience,yesh,18
winter,session,parliament,18
make,count,heard,18
aadhaar,laws,amendment,18
quota,economically,weaker,18
resilience,yesh,atid,18
poll,likud,israel,18
chair,president,erdoğan,18
ap,elections,dot,18
women,lnp,alp,18
farm,loan,waiver,18
get,right,time,18
alp,women,lnp,18
you.the,year,coming,18
happy,new,year,18
chief,electoral,officer,17
election,inec,chairman,17
final,registration,weekend,17
ahead,lok,polls,17
releases,new,dates,17
dates,postponement,details,17
new,dates,postponement,17
economist,author,ruchir,17
inec,releases,new,17
constitution,one,hundred,17
would,like,see,17
voter,registration,weekend,17
time,stop,disastrous,17
ahead,general,elections,17
stop,disastrous,make,17
right,time,control,17
rodham,clinton,logical,17
clinton,logical,choice,17
madhya,pradesh,chief,17
logical,choice,lets,17
choice,lets,get,17
hillary,rodham,clinton,17
lets,get,right,17
people,decide,waste,16
top,gainers,top,16
top,top,gainers,16
top,top,top,16
inec,chairman,meets,16
exactly,million,people,16
commissioner,sunil,arora,16
million,people,decide,16
announced,first,week,16
society,higher,educational,16
free,fair,elections,16
waste,votes,omoyele,16
ahead,lok,elections,16
election,commissioner,sunil,16
gainers,top,losers,16
author,ruchir,sharma,16
disastrous,make,count,16
decide,waste,votes,16
votes,omoyele,sowore,16
chairman,meets,stakeholders,16
section,society,higher,16
watch,live,ndtv,16
unreserved,sections,cleared,16
aiadmk,mps,suspended,15
constitution,amendment,quota,15
adjourned,till,tomorrow,15
registered,vote,click,15
economically,unreserved,sections,15
vote,click,easy,15
click,easy,hasslefree,15
easy,hasslefree,way,15
may,offender,however,15
hasslefree,way,check,15
kt,rama,rao,15
longest,election,yatra,15
muslim,women,passed,15
hundred,twentyfourth,amendment,15
results,click,detailed,15
omoyele,sowore,slavery,15
election,results,click,15
model,code,conduct,15
one,hundred,twentyfourth,15
door,door,campaign,15
higher,educational,institutions,15
rs,lakh,crore,15
want,work,election,14
time,show,disapproval,14
however,also,outs,14
offender,however,also,14
also,outs,victim,14
lok,speaker,sumitra,14
days,go,final,14
you.the,year,near,14
se,ke,liye,14
farm,loan,waivers,14
date,headline,factors,14
term,office,coming,14
show,disapproval,make,14
consumer,protection,passed,14
samajwadi,party,samaj,14
would,like,se,14
party,samaj,party,14
like,se,ke,14
final,voter,registration,14
next,prime,minister,13
get,rid,deductions,13
